ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
YPL202C	Aft2p(AFT2)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006879~cellular iron ion homeostasis,GO:0032048~cardiolipin metabolic process,GO:0034599~cellular response to oxidative stress,GO:0036086~positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0072715~cellular response to selenite ion,GO:2000185~regulation of phosphate transmembrane transport,	GO:0005634~nucleus,GO:0005739~mitochondrion,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0043565~sequence-specific DNA binding,	IPR014842:Transcription factor AFT,			3D-structure,Activator,Complete proteome,Iron,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Iron-regulated transcriptional activator AFT2,
YKR099W	Bas1p(BAS1)	Saccharomyces cerevisiae S288C	Transcription / RNA processing and modification / Cell division and chromosome partitioning,	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001046~core promoter sequence-specific DNA binding,GO:0001135~transcription factor activity, RNA polymerase II transcription factor recruiting,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,	IPR001005:SANT/Myb domain,IPR009057:Homeodomain-like,IPR017877:Myb-like domain,IPR017930:Myb domain,		SM00717:SANT,	Activator,Complete proteome,DNA-binding,Nucleus,Reference proteome,Repeat,Transcription,Transcription regulation,	chain:Myb-like DNA-binding protein BAS1,DNA-binding region:H-T-H motif,domain:HTH myb-type 1,domain:HTH myb-type 2,domain:Myb-like,modified residue,
YDR423C	Cad1p(CAD1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0036003~positive regulation of transcription from RNA polymerase II promoter in response to stress,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046686~response to cadmium ion,GO:0071276~cellular response to cadmium ion,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR004827:Basic-leucine zipper domain,IPR013910:Transcription factor PAP1,IPR023167:Yap1 redox domain,		SM00338:BRLZ,	Activator,Cadmium resistance,Complete proteome,Cytoplasm,Disulfide bond,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:AP-1-like transcription activator YAP2,disulfide bond,DNA-binding region:Basic motif,domain:Leucine-zipper,sequence conflict,
YJR060W	Cbf1p(CBF1)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0007059~chromosome segregation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0061427~negative regulation of ceramide biosynthetic process by negative regulation of transcription from RNA Polymerase II promoter,GO:0061432~regulation of transcription from RNA polymerase II promoter in response to methionine,GO:1900375~positive regulation of inositol biosynthetic process by positive regulation of transcription from RNA polymerase II promoter,GO:1900478~positive regulation of sulfate assimilation by positive regulation of transcription from RNA polymerase II promoter,	GO:0000775~chromosome, centromeric region,GO:0000776~kinetochore,GO:0005634~nucleus,GO:0005694~chromosome,GO:0005739~mitochondrion,GO:0089713~Cbf1-Met4-Met28 complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001076~transcription factor activity, RNA polymerase II transcription factor binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001102~RNA polymerase II activating transcription factor binding,GO:0001103~RNA polymerase II repressing transcription factor binding,GO:0003677~DNA binding,GO:0019237~centromeric DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046983~protein dimerization activity,	IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,		SM00353:HLH,	Acetylation,Centromere,Chromosome,Complete proteome,Direct protein sequencing,DNA-binding,Mitochondrion,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Centromere-binding protein 1,DNA-binding region:Basic motif,domain:Helix-loop-helix motif,modified residue,sequence conflict,
YOR028C	Cin5p(CIN5)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006972~hyperosmotic response,GO:0042493~response to drug,GO:0042538~hyperosmotic salinity response,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,GO:0070491~repressing transcription factor binding,	IPR004827:Basic-leucine zipper domain,		SM00338:BRLZ,	Activator,Complete proteome,Cytoplasm,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:AP-1-like transcription factor YAP4,DNA-binding region:Basic motif,domain:Leucine-zipper,modified residue,
YPL177C	Cup9p(CUP9)	Saccharomyces cerevisiae S288C		GO:0006355~regulation of transcription, DNA-templated,GO:0035952~negative regulation of oligopeptide transport by negative regulation of transcription from RNA polymerase II promoter,GO:0035955~negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001103~RNA polymerase II repressing transcription factor binding,GO:0001133~RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,	IPR001356:Homeodomain,IPR008422:Homeobox KN domain,IPR009057:Homeodomain-like,		SM00389:HOX,	Complete proteome,DNA-binding,Homeobox,Nucleus,Reference proteome,	chain:Homeobox protein CUP9,DNA-binding region:Homeobox; TALE-type,
YKL112W	DNA-binding protein ABF1(ABF1)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006260~DNA replication,GO:0006261~DNA-dependent DNA replication,GO:0006281~DNA repair,GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006974~cellular response to DNA damage stimulus,GO:0030466~chromatin silencing at silent mating-type cassette,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0070911~global genome nucleotide-excision repair,	GO:0000113~nucleotide-excision repair factor 4 complex,GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001046~core promoter sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003688~DNA replication origin binding,GO:0043565~sequence-specific DNA binding,GO:0044374~sequence-specific DNA binding, bending,				Activator,Complete proteome,Direct protein sequencing,DNA damage,DNA repair,DNA replication,DNA-binding,Isopeptide bond,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,	chain:Transcription factor BAF1,modified residue,mutagenesis site,sequence conflict,zinc finger region:CHC2-type,
YLR131C	DNA-binding transcription factor ACE2(ACE2)	Saccharomyces cerevisiae S288C	General function prediction only,	GO:0000083~regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060196~positive regulation of antisense RNA transcription,GO:2001043~positive regulation of cell separation after cytokinesis,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,		SM00355:ZnF_C2H2,	Activator,Complete proteome,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Metallothionein expression activator,modified residue,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,zinc finger region:C2H2-type 3; atypical,
YDR216W	DNA-binding transcription factor ADR1(ADR1)	Saccharomyces cerevisiae S288C		GO:0006325~chromatin organization,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0007031~peroxisome organization,GO:0031936~negative regulation of chromatin silencing,GO:0061410~positive regulation of transcription from RNA polymerase II promoter in response to ethanol,GO:0061424~positive regulation of peroxisome organization by positive regulation of transcription from RNA polymerase II promoter,GO:0061425~positive regulation of ethanol catabolic process by positive regulation of transcription from RNA polymerase II promoter,GO:0061429~positive regulation of transcription from RNA polymerase II promoter by oleic acid,GO:0071400~cellular response to oleic acid,GO:0097235~positive regulation of fatty acid beta-oxidation by positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001093~TFIIB-class transcription factor binding,GO:0001094~TFIID-class transcription factor binding,GO:0001102~RNA polymerase II activating transcription factor binding,GO:0001190~transcriptional activator activity, RNA polymerase II transcription factor binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,		SM00355:ZnF_C2H2,	3D-structure,Activator,Complete proteome,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Regulatory protein ADR1,helix,modified residue,mutagenesis site,sequence conflict,strand,turn,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,
YMR280C	DNA-binding transcription factor CAT8(CAT8)	Saccharomyces cerevisiae S288C		GO:0005975~carbohydrate metabolic process,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0035948~positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter,GO:0035959~positive regulation of glyoxylate cycle by positive regulation of transcription from RNA polymerase II promoter,GO:0061414~positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR007219:Transcription factor, fungi,		SM00066:GAL4,SM00906:SM00906,	Activator,Carbohydrate metabolism,Complete proteome,DNA-binding,Metal-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Regulatory protein CAT8,compositionally biased region:Poly-Asn,compositionally biased region:Poly-Pro,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,sequence conflict,
